,DATE,TIME,CLASS,ROOM,CAMPUS,DELIVERY MODE,COURSE,WEEK,SESSION,MEETING ID,MEETING PASSWORD,VICON
0,03 Dec 2020,15:20:00 - 17:00:00,LC66,-,-,VC,INTR6037 - Research Proposal Seminar,10,19,94103103367,iart2204FN,JOIN MEETING
1,03 Dec 2020,17:20:00 - 19:00:00,LC66,-,-,GSLC,INTR6037 - Research Proposal Seminar,10,20,-,-,-
2,05 Dec 2020,07:20:00 - 09:00:00,MA56,-,-,VC,ENTR6004 - Entrepreneurship II,11,11,95111769091,wgkd3268SU,JOIN MEETING
3,05 Dec 2020,09:20:00 - 11:00:00,MA66,-,-,VC,INTR6018 - International Organization in International Relations,11,21,99879832375,icsb8324FW,JOIN MEETING
4,07 Dec 2020,09:20:00 - 11:00:00,LA40,-,-,VC,CHAR6015 - Character Building: Agama,11,11,98460256436,fzmb2188YK,JOIN MEETING
5,07 Dec 2020,13:20:00 - 15:00:00,LD66,-,-,GSLC,INTR6018 - International Organization in International Relations,11,22,-,-,-
6,08 Dec 2020,11:20:00 - 13:00:00,MA66,-,-,VC,INTR6017 - Foreign Policy of Developed Countries,11,21,96010721607,dtsx6781FE,JOIN MEETING
7,10 Dec 2020,07:20:00 - 09:00:00,LB66,-,-,VC,INTR6025 - Non-Conventional Issues in International Relations,11,11,99307518310,vvyu2213NU,JOIN MEETING
8,10 Dec 2020,15:20:00 - 17:00:00,MA66,-,-,VC,INTR6037 - Research Proposal Seminar,11,21,91489459819,mcnr1453ZR,JOIN MEETING
9,10 Dec 2020,17:20:00 - 19:00:00,LC66,-,-,GSLC,INTR6037 - Research Proposal Seminar,11,22,-,-,-
10,12 Dec 2020,07:20:00 - 09:00:00,LD62,-,-,GSLC,ENTR6004 - Entrepreneurship II,12,12,-,-,-
11,14 Dec 2020,09:20:00 - 11:00:00,MA41,-,-,VC,CHAR6015 - Character Building: Agama,12,12,98714056358,cens7455DS,JOIN MEETING
12,14 Dec 2020,13:20:00 - 15:00:00,LD66,-,-,VC,INTR6018 - International Organization in International Relations,12,23,92321304511,nfnq9081VU,JOIN MEETING
13,14 Dec 2020,15:20:00 - 17:00:00,LD66,-,-,GSLC,INTR6018 - International Organization in International Relations,12,24,-,-,-
14,15 Dec 2020,09:20:00 - 11:00:00,MA66,-,-,VC,INTR6025 - Non-Conventional Issues in International Relations,12,12,97250379163,nugm2443ZV,JOIN MEETING
15,16 Dec 2020,07:20:00 - 09:00:00,LC66,-,-,GSLC,INTR6017 - Foreign Policy of Developed Countries,11,22,-,-,-
16,16 Dec 2020,11:20:00 - 13:00:00,TC66,-,-,GSLC,INTR6017 - Foreign Policy of Developed Countries,11,5,-,-,-
17,16 Dec 2020,13:20:00 - 15:00:00,LD66,-,-,VC,INTR6075 - International Law Issues and International Dispute Settlement,11,21,92369885807,wxid6941VN,JOIN MEETING
18,16 Dec 2020,15:20:00 - 17:00:00,LD66,-,-,GSLC,INTR6075 - International Law Issues and International Dispute Settlement,11,22,-,-,-
